"osm_id","name","road_type","surface","length_km","speed_kmh","cost_per_tkm","volume_tonnes","classe_trafic","volume_camionnette","volume_camion_moyen","volume_camion_lourd","part_camion_lourd","vol_t_Agriculture","vol_t_Mines","vol_t_Agro_industrie","vol_t_Industrie","vol_t_Construction","vol_t_Commerce","vol_t_Transport","vol_t_Services"
"25796292",NA,"trunk","paved",0.495242188517776,54,0.064205854690786,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",1.86309037871666,60,0.0606666666666667,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",0.0606993260523395,60,0.0610395228091102,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",1.92392760073086,60,0.0609477895492674,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",0.130719633564174,60,0.0606965412303344,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",0.299540229443937,60,0.0606666666666667,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796292",NA,"trunk","paved",0.00919580171563542,60,0.0606666666666667,13307.709759558,"Moyen",0,0,13307.709759558,100,1522.82323961298,1419.39539829714,3576.4492068288,1838.20197316953,1025.90648604589,2874.11854583712,636.051134805521,414.763774960971
"25796295","KN 5 Road","primary","paved",0.180408261270328,60,0.0665,488.947465442498,"Très faible",0,0,488.947465442498,100,21.4189559616363,27.5089120986126,174.556487333743,78.1005616647942,33.3994533987629,109.949700232478,30.3255697930957,13.6878249593758
"25796299",NA,"trunk","paved",0.0358730880701803,60,0.0665,3155.22825656449,"Faible",0,0,3155.22825656449,100,559.260754486925,210.162761863705,788.957466947359,274.791608732907,384.480871504168,765.742353825657,102.004607576574,69.8278316271975
"25796309","KN 1 Road","trunk","paved",0.116935558172986,54,0.0688148148148148,151644.746793594,"Très élevé",0,0,151644.746793594,100,7887.04353416208,15011.8224532021,46797.7372436755,29849.6793212347,14566.194603009,27240.9462219384,7344.3052693267,2947.01814704572
"25796309","KN 1 Road","trunk","paved",0.9732278384196,45,0.0734444444444445,151644.746793594,"Très élevé",0,0,151644.746793594,100,7887.04353416208,15011.8224532021,46797.7372436755,29849.6793212347,14566.194603009,27240.9462219384,7344.3052693267,2947.01814704572
"25796316",NA,"secondary","paved",0.848108673279158,50,0.0706715216378709,0,"Aucun",0,0,0,0,0,0,0,0,0,0,0,0
"25816888","Musanze - Rubavu Road","trunk","paved",0.431509844914948,60,0.0673933910448127,7452.7944801324,"Moyen",0,0,7452.7944801324,100,293.673313785988,2222.0611947787,1074.85069098364,2311.42307848389,237.222802282736,826.801545462612,363.001344855738,123.760509499098
"25816888","Musanze - Rubavu Road","trunk","paved",0.0718232448600364,60,0.0670431029769507,7452.7944801324,"Moyen",0,0,7452.7944801324,100,293.673313785988,2222.0611947787,1074.85069098364,2311.42307848389,237.222802282736,826.801545462612,363.001344855738,123.760509499098
"25816888","Musanze - Rubavu Road","trunk","paved",0.556069042282494,60,0.0673939202677397,7903.92938170557,"Moyen",0,0,7903.92938170557,100,335.691609053504,2286.85393658889,1170.10232264753,2407.84807919409,265.520090305836,920.510506994903,385.303125217666,132.099711703153
"25816888","Musanze - Rubavu Road","trunk","paved",1.29064050234112,54,0.0699618265013832,7903.92938170557,"Moyen",0,0,7903.92938170557,100,335.691609053504,2286.85393658889,1170.10232264753,2407.84807919409,265.520090305836,920.510506994903,385.303125217666,132.099711703153
"25816888","Musanze - Rubavu Road","trunk","paved",0.132095460867518,60,0.0665,7903.92938170557,"Moyen",0,0,7903.92938170557,100,335.691609053504,2286.85393658889,1170.10232264753,2407.84807919409,265.520090305836,920.510506994903,385.303125217666,132.099711703153
